TIME,GEO,S_ADJ,NA_ITEM,UNIT,Value,Flag and Footnotes
2017Q2,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2017Q2,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2017Q2,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.3,
2017Q2,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",1.8,
2017Q2,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",1.2,
2017Q3,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2017Q3,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2017Q3,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2017Q3,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.1,
2017Q3,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",1.7,
2017Q3,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",0.5,
2017Q4,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2017Q4,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2017Q4,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2017Q4,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.8,
2017Q4,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",2,
2017Q4,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",3.3,
2018Q1,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2018Q1,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2018Q1,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2018Q1,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.2,
2018Q1,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",1.5,
2018Q1,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",0.9,
2018Q2,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2018Q2,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2018Q2,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2018Q2,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.3,
2018Q2,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",1.5,
2018Q2,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",1.2,
2018Q3,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2018Q3,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2018Q3,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2018Q3,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.2,
2018Q3,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",1.5,
2018Q3,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",0.7,
2018Q4,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2018Q4,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2018Q4,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2018Q4,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.8,
2018Q4,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",1.5,
2018Q4,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",3.2,
2019Q1,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2019Q1,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2019Q1,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2019Q1,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.1,
2019Q1,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",1.4,
2019Q1,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",0.4,
2019Q2,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2019Q2,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2019Q2,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2019Q2,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.3,
2019Q2,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",1.4,
2019Q2,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",1.2,
2019Q3,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2019Q3,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2019Q3,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2019Q3,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.4,
2019Q3,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",1.6,
2019Q3,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",1.6,
2019Q4,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2019Q4,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2019Q4,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2019Q4,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.5,
2019Q4,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",1.3,
2019Q4,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",1.9,
2020Q1,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2020Q1,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2020Q1,Belgium,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2020Q1,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",-3.6,p
2020Q1,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",-2.5,p
2020Q1,Belgium,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",-13.6,p
2017Q1,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2017Q1,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2017Q1,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2017Q1,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.8,
2017Q1,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",3.6,
2017Q1,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",3.3,
2017Q2,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2017Q2,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2017Q2,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2017Q2,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.8,
2017Q2,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",3.5,
2017Q2,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",3.4,
2017Q3,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2017Q3,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2017Q3,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2017Q3,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.8,
2017Q3,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",3.7,
2017Q3,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",3.3,
2017Q4,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2017Q4,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2017Q4,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2017Q4,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.7,
2017Q4,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",3.2,
2017Q4,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",2.9,
2018Q1,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2018Q1,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2018Q1,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2018Q1,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.6,
2018Q1,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",3,
2018Q1,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",2.5,
2018Q2,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2018Q2,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2018Q2,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2018Q2,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.9,
2018Q2,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",3.1,
2018Q2,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",3.8,
2018Q3,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2018Q3,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2018Q3,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2018Q3,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",1,
2018Q3,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",3.3,
2018Q3,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",4,
2018Q4,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2018Q4,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
2018Q4,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",:,
2018Q4,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",0.8,
2018Q4,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",3.4,
2018Q4,Bulgaria,Seasonally and calendar adjusted data,Gross domestic product at market prices,"Chain linked volumes, annualized percentage change on previous period",3.3,
2019Q1,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change on previous period",:,
2019Q1,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Gross domestic product at market prices,"Chain linked volumes, percentage change compared to same period in previous year",:,
